Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 8 , 1 , 137 , 5.84 , 0.73 , 24.08 , 7 , 5.11 , 16 , 50.0 , 0
Dynamic memory defects , 0 , 0 , 87 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 4 , 100.0 , 0
Pointer related defects , 5 , 5 , 84 , 5.95 , 5.95 , 23.66 , 0 , 0.0 , 86 , 94.19 , 0
Inappropriate code , 2 , 2 , 64 , 3.12 , 3.12 , 17.4 , 0 , 0.0 , 13 , 84.62 , 0
Concurrency defects , 10 , 1 , 45 , 22.22 , 2.22 , 46.61 , 9 , 20.0 , 119 , 91.6 , 3
Resource management defects , 33 , 19 , 96 , 34.38 , 19.79 , 52.51 , 16 , 16.67 , 125 , 73.6 , 0
Misc defects , 0 , 1 , 35 , 0.0 , 2.86 , 0.0 , 0 , 0.0 , 2 , 100.0 , 0
Static memory defects , 0 , 0 , 67 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Stack related defects , 0 , 0 , 20 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 16 , 100.0 , 0
