Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
st_cross_thread_access.c , Stack related defects , Cross thread stack access , 1 , 0 , 6 , 16.67 , 0.0 , 40.82 , 1 , 16.67 , 9 , 88.89 , 0
st_overflow.c , Stack related defects , Stack overflow , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
st_underrun.c , Stack related defects , Stack underrun , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 15 , 100.0 , 0
underrun_st.c , Static memory defects , Static buffer underrun , 6 , 0 , 13 , 46.15 , 0.0 , 67.94 , 6 , 46.15 , 6 , 0.0 , 0
uninit_memory_access.c , Resource management defects , Uninitialized memory access , 6 , 1 , 15 , 40.0 , 6.67 , 61.1 , 5 , 33.33 , 12 , 50.0 , 0
uninit_pointer.c , Pointer related defects , Uninitialized pointer , 10 , 2 , 16 , 62.5 , 12.5 , 73.95 , 8 , 50.0 , 32 , 68.75 , 0
uninit_var.c , Misc defects , Uninitialized variable , 10 , 1 , 15 , 66.67 , 6.67 , 78.88 , 9 , 60.0 , 14 , 28.57 , 0
unlock_without_lock.c , Concurrency defects , Unlock without lock , 2 , 0 , 8 , 25.0 , 0.0 , 50.0 , 2 , 25.0 , 6 , 66.67 , 0
unused_var.c , Inappropriate code , Unused variable , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
wrong_arguments_func_pointer.c , Pointer related defects , Wrong arguments passed to a function pointer , 0 , 0 , 18 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 17 , 100.0 , 0
zero_division.c , Numerical defects , Division by zero , 12 , 0 , 16 , 75.0 , 0.0 , 86.6 , 12 , 75.0 , 12 , 0.0 , 0
