Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
st_cross_thread_access.c , Stack related defects , Cross thread stack access , 1 , 0 , 6 , 16.67 , 0.0 , 40.82 , 1 , 16.67 , 4 , 75.0 , 0
st_overflow.c , Stack related defects , Stack overflow , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
st_underrun.c , Stack related defects , Stack underrun , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 23 , 100.0 , 0
underrun_st.c , Static memory defects , Static buffer underrun , 5 , 1 , 13 , 38.46 , 7.69 , 59.58 , 4 , 30.77 , 6 , 16.67 , 0
uninit_memory_access.c , Resource management defects , Uninitialized memory access , 3 , 3 , 15 , 20.0 , 20.0 , 40.0 , 0 , 0.0 , 39 , 92.31 , 0
uninit_pointer.c , Pointer related defects , Uninitialized pointer , 2 , 2 , 16 , 12.5 , 12.5 , 33.07 , 0 , 0.0 , 22 , 90.91 , 0
uninit_var.c , Misc defects , Uninitialized variable , 2 , 1 , 15 , 13.33 , 6.67 , 35.28 , 1 , 6.67 , 4 , 50.0 , 0
unlock_without_lock.c , Concurrency defects , Unlock without lock , 0 , 0 , 8 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 4 , 100.0 , 0
unused_var.c , Inappropriate code , Unused variable , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
wrong_arguments_func_pointer.c , Pointer related defects , Wrong arguments passed to a function pointer , 0 , 1 , 18 , 0.0 , 5.56 , 0.0 , 0 , 0.0 , 42 , 100.0 , 0
zero_division.c , Numerical defects , Division by zero , 14 , 0 , 16 , 87.5 , 0.0 , 93.54 , 14 , 87.5 , 22 , 36.36 , 2
