Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
sign_conv.c , Numerical defects , Integer sign lost because of unsigned cast , 7 , 19 , 19 , 36.84 , 100.0 , 0.0 , 0 , 0.0 , 80 , 91.25 , 0
sleep_lock.c , Concurrency defects , Long lock , 0 , 0 , 3 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 35 , 100.0 , 0
st_cross_thread_access.c , Stack related defects , Cross thread stack access , 5 , 6 , 6 , 83.33 , 100.0 , 0.0 , 0 , 0.0 , 179 , 97.21 , 0
st_overflow.c , Stack related defects , Stack overflow , 3 , 3 , 7 , 42.86 , 42.86 , 49.49 , 0 , 0.0 , 45 , 93.33 , 0
st_underrun.c , Stack related defects , Stack underrun , 2 , 6 , 7 , 28.57 , 85.71 , 20.2 , 0 , 0.0 , 69 , 97.1 , 0
underrun_st.c , Static memory defects , Static buffer underrun , 2 , 3 , 13 , 15.38 , 23.08 , 34.4 , 2 , 15.38 , 47 , 95.74 , 0
uninit_memory_access.c , Resource management defects , Uninitialized memory access , 11 , 14 , 15 , 73.33 , 93.33 , 22.11 , 0 , 0.0 , 116 , 90.52 , 0
uninit_pointer.c , Pointer related defects , Uninitialized pointer , 7 , 10 , 16 , 43.75 , 62.5 , 40.5 , 0 , 0.0 , 103 , 93.2 , 0
uninit_var.c , Misc defects , Uninitialized variable , 4 , 7 , 15 , 26.67 , 46.67 , 37.71 , 0 , 0.0 , 68 , 94.12 , 0
unlock_without_lock.c , Concurrency defects , Unlock without lock , 8 , 8 , 8 , 100.0 , 100.0 , 0.0 , 0 , 0.0 , 180 , 95.56 , 0
unused_var.c , Inappropriate code , Unused variable , 3 , 3 , 7 , 42.86 , 42.86 , 49.49 , 0 , 0.0 , 30 , 90.0 , 0
wrong_arguments_func_pointer.c , Pointer related defects , Wrong arguments passed to a function pointer , 18 , 18 , 18 , 100.0 , 100.0 , 0.0 , 0 , 0.0 , 214 , 91.59 , 0
zero_division.c , Numerical defects , Division by zero , 8 , 11 , 16 , 50.0 , 68.75 , 39.53 , 3 , 18.75 , 40 , 80.0 , 0
