Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 36 , 58 , 137 , 26.28 , 42.34 , 38.93 , 11 , 8.03 , 311 , 88.42 , 0
Dynamic memory defects , 19 , 25 , 87 , 21.84 , 28.74 , 39.45 , 1 , 1.15 , 253 , 92.49 , 0
Pointer related defects , 42 , 55 , 84 , 50.0 , 65.48 , 41.55 , 1 , 1.19 , 696 , 93.97 , 0
Inappropriate code , 35 , 34 , 64 , 54.69 , 53.12 , 50.63 , 4 , 6.25 , 374 , 90.64 , 0
Concurrency defects , 32 , 39 , 45 , 71.11 , 86.67 , 30.79 , 0 , 0.0 , 763 , 95.81 , 0
Resource management defects , 79 , 83 , 96 , 82.29 , 86.46 , 33.38 , 0 , 0.0 , 673 , 88.26 , 0
Misc defects , 14 , 15 , 35 , 40.0 , 42.86 , 47.81 , 4 , 11.43 , 137 , 89.78 , 0
Static memory defects , 15 , 13 , 67 , 22.39 , 19.4 , 42.48 , 11 , 16.42 , 148 , 89.86 , 0
Stack related defects , 10 , 15 , 20 , 50.0 , 75.0 , 35.36 , 0 , 0.0 , 293 , 96.59 , 0
