Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 42 , 3 , 137 , 30.66 , 2.19 , 54.76 , 39 , 28.47 , 104 , 59.62 , 0
Dynamic memory defects , 5 , 0 , 87 , 5.75 , 0.0 , 23.97 , 5 , 5.75 , 7 , 28.57 , 0
Pointer related defects , 17 , 0 , 84 , 20.24 , 0.0 , 44.99 , 17 , 20.24 , 41 , 58.54 , 0
Inappropriate code , 0 , 0 , 64 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Concurrency defects , 0 , 0 , 45 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 4 , 100.0 , 0
Resource management defects , 22 , 2 , 96 , 22.92 , 2.08 , 47.37 , 20 , 20.83 , 50 , 56.0 , 0
Misc defects , 4 , 0 , 35 , 11.43 , 0.0 , 33.81 , 4 , 11.43 , 8 , 50.0 , 0
Static memory defects , 43 , 0 , 67 , 64.18 , 0.0 , 80.11 , 43 , 64.18 , 74 , 41.89 , 0
Stack related defects , 0 , 0 , 20 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 16 , 100.0 , 0
