Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 0 , 0 , 137 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 27 , 100.0 , 0
Dynamic memory defects , 0 , 1 , 87 , 0.0 , 1.15 , 0.0 , 0 , 0.0 , 31 , 100.0 , 0
Pointer related defects , 13 , 0 , 84 , 15.48 , 0.0 , 39.34 , 13 , 15.48 , 51 , 74.51 , 1
Inappropriate code , 11 , 6 , 64 , 17.19 , 9.38 , 39.47 , 11 , 17.19 , 57 , 80.7 , 1
Concurrency defects , 8 , 4 , 45 , 17.78 , 8.89 , 40.25 , 7 , 15.56 , 53 , 84.91 , 0
Resource management defects , 33 , 1 , 96 , 34.38 , 1.04 , 58.32 , 33 , 34.38 , 92 , 64.13 , 1
Misc defects , 5 , 0 , 35 , 14.29 , 0.0 , 37.8 , 5 , 14.29 , 30 , 83.33 , 1
Static memory defects , 40 , 0 , 67 , 59.7 , 0.0 , 77.27 , 40 , 59.7 , 48 , 16.67 , 0
Stack related defects , 0 , 3 , 20 , 0.0 , 15.0 , 0.0 , 0 , 0.0 , 35 , 100.0 , 0
