Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
function_return_value_unchecked.c , Inappropriate code , Return value of function never checked , 2 , 0 , 16 , 12.5 , 0.0 , 35.36 , 2 , 12.5 , 8 , 75.0 , 1
improper_termination_of_block.c , Inappropriate code , Improper termination of block , 2 , 0 , 4 , 50.0 , 0.0 , 70.71 , 2 , 50.0 , 3 , 33.33 , 0
insign_code.c , Misc defects , Useless assignment , 0 , 0 , 1 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
invalid_extern.c , Misc defects , Bad extern type for global variable , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
invalid_memory_access.c , Resource management defects , Invalid memory access to already freed area , 15 , 0 , 17 , 88.24 , 0.0 , 93.93 , 15 , 88.24 , 28 , 46.43 , 1
littlemem_st.c , Dynamic memory defects , Assign small buffer for structure , 0 , 0 , 11 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
livelock.c , Concurrency defects , Live lock , 0 , 1 , 1 , 0.0 , 100.0 , 0.0 , 0 , 0.0 , 2 , 100.0 , 0
lock_never_unlock.c , Concurrency defects , Locked but never unlock , 0 , 2 , 9 , 0.0 , 22.22 , 0.0 , 0 , 0.0 , 10 , 100.0 , 0
memory_allocation_failure.c , Resource management defects , Memory allocation failure , 0 , 0 , 16 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 17 , 100.0 , 0
memory_leak.c , Resource management defects , Memory leakage , 4 , 0 , 18 , 22.22 , 0.0 , 47.14 , 4 , 22.22 , 14 , 71.43 , 0
not_return.c , Misc defects , Non void function does not return value , 4 , 0 , 4 , 100.0 , 0.0 , 100.0 , 4 , 100.0 , 8 , 50.0 , 0
null_pointer.c , Pointer related defects , Dereferencing a NULL pointer , 8 , 0 , 17 , 47.06 , 0.0 , 68.6 , 8 , 47.06 , 11 , 27.27 , 0
overrun_st.c , Static memory defects , Static buffer overrun , 39 , 0 , 54 , 72.22 , 0.0 , 84.98 , 39 , 72.22 , 47 , 17.02 , 0
ow_memcpy.c , Dynamic memory defects , Memory copy at overlapping areas , 0 , 0 , 2 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
pow_related_errors.c , Numerical defects , Power related errors , 0 , 0 , 29 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
ptr_subtraction.c , Pointer related defects , Incorrect pointer arithmetic , 0 , 0 , 2 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
race_condition.c , Concurrency defects , Race condition , 0 , 0 , 9 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
redundant_cond.c , Inappropriate code , Redundant conditions , 0 , 6 , 14 , 0.0 , 42.86 , 0.0 , 0 , 0.0 , 15 , 100.0 , 0
return_local.c , Resource management defects , Return of a pointer to a local variable , 2 , 0 , 2 , 100.0 , 0.0 , 100.0 , 2 , 100.0 , 2 , 0.0 , 0
sign_conv.c , Numerical defects , Integer sign lost because of unsigned cast , 0 , 0 , 19 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
sleep_lock.c , Concurrency defects , Long lock , 2 , 0 , 3 , 66.67 , 0.0 , 81.65 , 2 , 66.67 , 6 , 66.67 , 0
st_cross_thread_access.c , Stack related defects , Cross thread stack access , 0 , 1 , 6 , 0.0 , 16.67 , 0.0 , 0 , 0.0 , 9 , 100.0 , 0
st_overflow.c , Stack related defects , Stack overflow , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 18 , 100.0 , 0
st_underrun.c , Stack related defects , Stack underrun , 0 , 2 , 7 , 0.0 , 28.57 , 0.0 , 0 , 0.0 , 8 , 100.0 , 0
underrun_st.c , Static memory defects , Static buffer underrun , 1 , 0 , 13 , 7.69 , 0.0 , 27.74 , 1 , 7.69 , 1 , 0.0 , 0
uninit_memory_access.c , Resource management defects , Uninitialized memory access , 1 , 1 , 15 , 6.67 , 6.67 , 24.94 , 1 , 6.67 , 8 , 87.5 , 0
uninit_pointer.c , Pointer related defects , Uninitialized pointer , 0 , 0 , 16 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 15 , 100.0 , 0
uninit_var.c , Misc defects , Uninitialized variable , 1 , 0 , 15 , 6.67 , 0.0 , 25.82 , 1 , 6.67 , 12 , 91.67 , 1
unlock_without_lock.c , Concurrency defects , Unlock without lock , 1 , 1 , 8 , 12.5 , 12.5 , 33.07 , 0 , 0.0 , 14 , 92.86 , 0
unused_var.c , Inappropriate code , Unused variable , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
wrong_arguments_func_pointer.c , Pointer related defects , Wrong arguments passed to a function pointer , 2 , 0 , 18 , 11.11 , 0.0 , 33.33 , 2 , 11.11 , 8 , 75.0 , 1
zero_division.c , Numerical defects , Division by zero , 0 , 0 , 16 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 8 , 100.0 , 0
