Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
sign_conv.c , Numerical defects , Integer sign lost because of unsigned cast , 19 , 16 , 19 , 100.0 , 84.21 , 39.74 , 3 , 15.79 , 155 , 87.74 , 1
sleep_lock.c , Concurrency defects , Long lock , 0 , 0 , 3 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
st_cross_thread_access.c , Stack related defects , Cross thread stack access , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
st_overflow.c , Stack related defects , Stack overflow , 4 , 4 , 7 , 57.14 , 57.14 , 49.49 , 0 , 0.0 , 120 , 96.67 , 0
st_underrun.c , Stack related defects , Stack underrun , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
underrun_st.c , Static memory defects , Static buffer underrun , 0 , 0 , 13 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
uninit_memory_access.c , Resource management defects , Uninitialized memory access , 2 , 1 , 15 , 13.33 , 6.67 , 35.28 , 1 , 6.67 , 83 , 97.59 , 0
uninit_pointer.c , Pointer related defects , Uninitialized pointer , 4 , 0 , 16 , 25.0 , 0.0 , 50.0 , 4 , 25.0 , 9 , 55.56 , 0
uninit_var.c , Misc defects , Uninitialized variable , 10 , 1 , 15 , 66.67 , 6.67 , 78.88 , 9 , 60.0 , 23 , 56.52 , 0
unlock_without_lock.c , Concurrency defects , Unlock without lock , 0 , 0 , 8 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
unused_var.c , Inappropriate code , Unused variable , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 40 , 100.0 , 0
wrong_arguments_func_pointer.c , Pointer related defects , Wrong arguments passed to a function pointer , 1 , 1 , 18 , 5.56 , 5.56 , 22.91 , 1 , 5.56 , 21 , 95.24 , 0
zero_division.c , Numerical defects , Division by zero , 1 , 1 , 16 , 6.25 , 6.25 , 24.21 , 0 , 0.0 , 102 , 99.02 , 0
