Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 7 , 0 , 137 , 5.11 , 0.0 , 22.6 , 7 , 5.11 , 21 , 66.67 , 0
Dynamic memory defects , 34 , 10 , 87 , 39.08 , 11.49 , 58.81 , 25 , 28.74 , 68 , 50.0 , 0
Pointer related defects , 21 , 7 , 84 , 25.0 , 8.33 , 47.87 , 17 , 20.24 , 150 , 86.0 , 0
Inappropriate code , 5 , 0 , 64 , 7.81 , 0.0 , 27.95 , 5 , 7.81 , 12 , 58.33 , 0
Concurrency defects , 0 , 0 , 45 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 161 , 100.0 , 0
Resource management defects , 33 , 10 , 96 , 34.38 , 10.42 , 55.49 , 23 , 23.96 , 170 , 80.59 , 0
Misc defects , 12 , 0 , 35 , 34.29 , 0.0 , 58.55 , 12 , 34.29 , 25 , 52.0 , 0
Static memory defects , 27 , 0 , 67 , 40.3 , 0.0 , 63.48 , 27 , 40.3 , 54 , 50.0 , 0
Stack related defects , 0 , 0 , 20 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 79 , 100.0 , 0
