Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 0 , 0 , 137 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Dynamic memory defects , 2 , 3 , 87 , 2.3 , 3.45 , 14.9 , 0 , 0.0 , 57 , 96.49 , 0
Pointer related defects , 4 , 4 , 84 , 4.76 , 4.76 , 21.3 , 0 , 0.0 , 67 , 94.03 , 0
Inappropriate code , 1 , 1 , 64 , 1.56 , 1.56 , 12.4 , 0 , 0.0 , 8 , 87.5 , 0
Concurrency defects , 0 , 0 , 45 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 7 , 100.0 , 0
Resource management defects , 8 , 8 , 96 , 8.33 , 8.33 , 27.64 , 0 , 0.0 , 58 , 86.21 , 0
Misc defects , 1 , 1 , 35 , 2.86 , 2.86 , 16.66 , 0 , 0.0 , 5 , 80.0 , 0
Static memory defects , 0 , 0 , 67 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 6 , 100.0 , 0
Stack related defects , 3 , 2 , 20 , 15.0 , 10.0 , 36.74 , 1 , 5.0 , 180 , 98.33 , 0
