Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 42 , 1 , 137 , 30.66 , 0.73 , 55.17 , 41 , 29.93 , 51 , 17.65 , 6
Dynamic memory defects , 72 , 20 , 87 , 82.76 , 22.99 , 79.83 , 53 , 60.92 , 467 , 84.58 , 1
Pointer related defects , 16 , 2 , 84 , 19.05 , 2.38 , 43.12 , 15 , 17.86 , 249 , 93.57 , 5
Inappropriate code , 7 , 7 , 64 , 10.94 , 10.94 , 31.21 , 0 , 0.0 , 64 , 89.06 , 0
Concurrency defects , 1 , 0 , 45 , 2.22 , 0.0 , 14.91 , 1 , 2.22 , 165 , 99.39 , 0
Resource management defects , 31 , 4 , 96 , 32.29 , 4.17 , 55.63 , 27 , 28.12 , 147 , 78.91 , 0
Misc defects , 9 , 3 , 35 , 25.71 , 8.57 , 48.49 , 6 , 17.14 , 34 , 73.53 , 6
Static memory defects , 0 , 0 , 67 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Stack related defects , 0 , 0 , 20 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 2 , 100.0 , 0
