Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 50 , 20 , 137 , 36.5 , 14.6 , 55.83 , 31 , 22.63 , 273 , 81.68 , 0
Dynamic memory defects , 13 , 8 , 87 , 14.94 , 9.2 , 36.84 , 6 , 6.9 , 166 , 92.17 , 0
Pointer related defects , 36 , 8 , 84 , 42.86 , 9.52 , 62.27 , 29 , 34.52 , 188 , 80.85 , 3
Inappropriate code , 24 , 10 , 64 , 37.5 , 15.62 , 56.25 , 14 , 21.88 , 113 , 78.76 , 7
Concurrency defects , 21 , 5 , 45 , 46.67 , 11.11 , 64.41 , 16 , 35.56 , 603 , 96.52 , 2
Resource management defects , 15 , 7 , 96 , 15.62 , 7.29 , 38.06 , 8 , 8.33 , 219 , 93.15 , 1
Misc defects , 14 , 1 , 35 , 40.0 , 2.86 , 62.34 , 14 , 40.0 , 41 , 65.85 , 0
Static memory defects , 55 , 10 , 67 , 82.09 , 14.93 , 83.57 , 45 , 67.16 , 144 , 61.81 , 1
Stack related defects , 1 , 1 , 20 , 5.0 , 5.0 , 21.79 , 1 , 5.0 , 107 , 99.07 , 1
