Defect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate, Warning count, Noise rate, Unique
Numerical defects , 10 , 0 , 137 , 7.3 , 0.0 , 27.02 , 10 , 7.3 , 93 , 89.25 , 0
Dynamic memory defects , 0 , 0 , 87 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Pointer related defects , 0 , 0 , 84 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Inappropriate code , 0 , 0 , 64 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Concurrency defects , 0 , 0 , 45 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Resource management defects , 0 , 0 , 96 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 81 , 100.0 , 0
Misc defects , 0 , 0 , 35 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Static memory defects , 0 , 0 , 67 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
Stack related defects , 0 , 0 , 20 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 0 , 0 , 0
