Filename, Defect, Subdefect, TP, FP, Variations, Detection rate, False pos rate, Productivity, Robust detection count, Robust detection rate,Warning count, Noise rate , Unique
st_cross_thread_access.c , Stack related defects , Cross thread stack access , 0 , 0 , 6 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 14 , 100.0 , 0
st_overflow.c , Stack related defects , Stack overflow , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 10 , 100.0 , 0
st_underrun.c , Stack related defects , Stack underrun , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 12 , 100.0 , 0
underrun_st.c , Static memory defects , Static buffer underrun , 10 , 1 , 13 , 76.92 , 7.69 , 84.27 , 9 , 69.23 , 13 , 23.08 , 0
uninit_memory_access.c , Resource management defects , Uninitialized memory access , 6 , 1 , 15 , 40.0 , 6.67 , 61.1 , 5 , 33.33 , 37 , 83.78 , 0
uninit_pointer.c , Pointer related defects , Uninitialized pointer , 8 , 0 , 16 , 50.0 , 0.0 , 70.71 , 8 , 50.0 , 35 , 77.14 , 1
uninit_var.c , Misc defects , Uninitialized variable , 9 , 1 , 15 , 60.0 , 6.67 , 74.83 , 8 , 53.33 , 15 , 40.0 , 0
unlock_without_lock.c , Concurrency defects , Unlock without lock , 1 , 1 , 8 , 12.5 , 12.5 , 33.07 , 0 , 0.0 , 16 , 93.75 , 0
unused_var.c , Inappropriate code , Unused variable , 0 , 0 , 7 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 1 , 100.0 , 0
wrong_arguments_func_pointer.c , Pointer related defects , Wrong arguments passed to a function pointer , 0 , 0 , 18 , 0.0 , 0.0 , 0.0 , 0 , 0.0 , 22 , 100.0 , 0
zero_division.c , Numerical defects , Division by zero , 13 , 0 , 16 , 81.25 , 0.0 , 90.14 , 13 , 81.25 , 16 , 18.75 , 0
